Date,Ticker,Metric,Value
2023-06-01,INFY,MA90,1322.0968248155382
2023-06-02,INFY,MA90,1319.7145968967013
2023-06-05,INFY,MA90,1317.4580050998263
2023-06-06,INFY,MA90,1315.07142062717
2023-06-07,INFY,MA90,1312.5561577690971
2023-06-08,INFY,MA90,1309.935462782118
2023-06-09,INFY,MA90,1307.2296847873263
2023-06-12,INFY,MA90,1305.0462565104167
2023-06-13,INFY,MA90,1302.7943956163194
2023-06-14,INFY,MA90,1300.548158094618
2023-06-15,INFY,MA90,1297.9779690212674
2023-06-16,INFY,MA90,1295.1191867404514
2023-06-19,INFY,MA90,1292.1223402235244
2023-06-20,INFY,MA90,1289.532100423177
2023-06-21,INFY,MA90,1286.9766723632813
2023-06-22,INFY,MA90,1283.9411431206597
2023-06-23,INFY,MA90,1280.455342610677
2023-06-26,INFY,MA90,1277.113887532552
2023-06-27,INFY,MA90,1274.2928968641493
2023-06-28,INFY,MA90,1271.3531887478298
2023-06-30,INFY,MA90,1268.818421766493
2023-07-03,INFY,MA90,1266.215247938368
2023-07-04,INFY,MA90,1263.9201171875
2023-07-05,INFY,MA90,1261.5576538085938
2023-07-06,INFY,MA90,1259.294083658854
2023-07-07,INFY,MA90,1257.0702202690973
2023-07-10,INFY,MA90,1254.9507853190105
2023-07-11,INFY,MA90,1253.03697781033
2023-07-12,INFY,MA90,1251.3920925564237
2023-07-13,INFY,MA90,1250.3088636610244
2023-07-14,INFY,MA90,1249.77887234158
2023-07-17,INFY,MA90,1249.4659342447917
2023-07-18,INFY,MA90,1249.629591200087
2023-07-19,INFY,MA90,1249.497698296441
2023-07-20,INFY,MA90,1249.250907389323
2023-07-21,INFY,MA90,1247.888811577691
2023-07-24,INFY,MA90,1246.6715304904515
2023-07-25,INFY,MA90,1245.812437608507
2023-07-26,INFY,MA90,1245.2607394748263
2023-07-27,INFY,MA90,1244.7580268012152
2023-07-28,INFY,MA90,1244.2837212456598
2023-07-31,INFY,MA90,1243.7969712999131
2023-08-01,INFY,MA90,1243.5878160264756
2023-08-02,INFY,MA90,1243.4253594292534
2023-08-03,INFY,MA90,1243.3565538194443
2023-08-04,INFY,MA90,1243.5888671875
2023-08-07,INFY,MA90,1243.912200249566
2023-08-08,INFY,MA90,1244.1196370442708
2023-08-09,INFY,MA90,1244.489466688368
2023-08-10,INFY,MA90,1244.7414930555556
2023-08-11,INFY,MA90,1244.3496107313367
2023-08-14,INFY,MA90,1244.3644978841146
2023-08-16,INFY,MA90,1244.510337999132
2023-08-17,INFY,MA90,1244.6000596788194
2023-08-18,INFY,MA90,1244.3905653211805
2023-08-21,INFY,MA90,1244.579318576389
2023-08-22,INFY,MA90,1244.5201904296875
2023-08-23,INFY,MA90,1244.9122083875868
2023-08-24,INFY,MA90,1246.8313300238715
2023-08-25,INFY,MA90,1248.7026190863714
2023-08-28,INFY,MA90,1250.8094916449652
2023-08-29,INFY,MA90,1253.0290201822916
2023-08-30,INFY,MA90,1255.3919908311632
2023-08-31,INFY,MA90,1257.7690511067708
2023-09-01,INFY,MA90,1260.249260796441
2023-09-04,INFY,MA90,1262.9259806315104
2023-09-05,INFY,MA90,1265.55364718967
2023-09-06,INFY,MA90,1268.0983832465279
2023-09-07,INFY,MA90,1270.267472330729
2023-09-08,INFY,MA90,1272.5587809244792
2023-09-11,INFY,MA90,1274.8765407986111
2023-09-12,INFY,MA90,1277.6046020507813
2023-09-13,INFY,MA90,1280.2360270182292
2023-09-14,INFY,MA90,1282.9050726996527
2023-09-15,INFY,MA90,1285.700676812066
2023-09-18,INFY,MA90,1288.3618828667534
2023-09-20,INFY,MA90,1291.120164659288
2023-09-21,INFY,MA90,1293.8628851996527
2023-09-22,INFY,MA90,1296.4846381293403
2023-09-25,INFY,MA90,1299.0554484049478
2023-09-26,INFY,MA90,1301.4932630750868
2023-09-27,INFY,MA90,1303.7597534179688
2023-09-28,INFY,MA90,1305.4870307074652
2023-09-29,INFY,MA90,1307.0966891818575
2023-10-03,INFY,MA90,1308.7056247287326
2023-10-04,INFY,MA90,1310.364390733507
2023-10-05,INFY,MA90,1312.0882622612846
2023-10-06,INFY,MA90,1314.004686143663
2023-10-09,INFY,MA90,1315.7885064019097
2023-10-10,INFY,MA90,1317.8378200954862
2023-10-11,INFY,MA90,1319.8667385525173
2023-10-12,INFY,MA90,1321.6225328233506
2023-10-13,INFY,MA90,1322.9580959743923
2023-10-16,INFY,MA90,1324.5942016601562
2023-10-17,INFY,MA90,1326.2129082573786
2023-10-18,INFY,MA90,1327.8764309353298
